,STNAME,CTYNAME,black_population,total_population,cty_percentage
1,Alabama,Autauga County,253472,1327718,0.1909080091
2,Alabama,Baldwin County,910598,6044606,0.1506463779
3,Alabama,Barbour County,302774,1023340,0.2958684308
4,Alabama,Bibb County,2139712,4241136,0.504513885
5,Alabama,Blount County,113314,4467024,0.02536677663
6,Alabama,Bullock County,176062,249416,0.7058969753
7,Alabama,Butler County,1133246,17488504,0.06479948199
8,Alabama,Calhoun County,1377512,8375494,0.1644693435
9,Alabama,Chambers County,401466,1769506,0.2268802705
10,Alabama,Cherokee County,915646,11578360,0.07908252982
11,Alabama,Chilton County,108332,1054220,0.1027603347
12,Alabama,Choctaw County,230022,872356,0.2636790485
13,Alabama,Clarke County,1241488,4507316,0.2754384206
14,Alabama,Clay County,1402206,16836214,0.08328511386
15,Alabama,Cleburne County,14172,968168,0.0146379554
16,Alabama,Coffee County,557554,3584952,0.1555262107
17,Alabama,Colbert County,212766,1314612,0.1618469936
18,Alabama,Conecuh County,140258,301500,0.4652006633
19,Alabama,Coosa County,82542,263984,0.3126780411
20,Alabama,Covington County,278050,1356036,0.2050461787
21,Alabama,Crenshaw County,79070,332134,0.2380665635
22,Alabama,Cullman County,24552,1971580,0.01245295651
23,Alabama,Dale County,239976,1190166,0.2016323773
24,Alabama,Dallas County,15088754,64628514,0.2334689917
25,Alabama,DeKalb County,9967930,23648342,0.4215065056
26,Alabama,Elmore County,426834,2584482,0.1651526302
27,Alabama,Escambia County,2011510,8358230,0.2406621976
28,Alabama,Etowah County,386202,2478988,0.1557901853
29,Alabama,Fayette County,2371166,18674014,0.126976771
30,Alabama,Franklin County,8205618,53658684,0.1529224608
31,Alabama,Geneva County,60504,637442,0.09491687087
32,Alabama,Greene County,1281880,18860946,0.06796477759
33,Alabama,Hale County,258320,1186818,0.2176576358
34,Alabama,Henry County,2850166,12125520,0.2350551564
35,Alabama,Houston County,1952204,7327980,0.2664041114
36,Alabama,Jackson County,5952394,41466070,0.1435485446
37,Alabama,Jefferson County,15107612,76885430,0.1964951227
38,Alabama,Lamar County,629390,3431652,0.1834072919
39,Alabama,Lauderdale County,1257790,4728280,0.26601428
40,Alabama,Lawrence County,378764,9495386,0.03988926832
41,Alabama,Lee County,3977428,28438850,0.1398589605
42,Alabama,Limestone County,401524,2789280,0.1439525612
43,Alabama,Lowndes County,1829830,4422542,0.4137507343
44,Alabama,Macon County,1047434,5120434,0.2045596135
45,Alabama,Madison County,5304308,33135078,0.1600813494
46,Alabama,Marengo County,243462,472732,0.5150106191
47,Alabama,Marion County,8719650,48666138,0.1791728368
48,Alabama,Marshall County,570840,8779542,0.065019337
49,Alabama,Mobile County,3545760,9932656,0.3569800464
50,Alabama,Monroe County,4610660,37336686,0.1234887317
51,Alabama,Montgomery County,14663838,88804858,0.1651242773
52,Alabama,Morgan County,602266,8869524,0.06790285476
53,Alabama,Perry County,306678,5013282,0.06117309978
54,Alabama,Pickens County,405686,4169022,0.09730963281
55,Alabama,Pike County,1001028,7055636,0.1418763666
56,Alabama,Randolph County,565754,7254296,0.07798882207
57,Alabama,Russell County,621900,2638864,0.2356695912
58,Alabama,St. Clair County,2227386,12505714,0.1781094626
59,Alabama,Shelby County,12929384,32414764,0.3988733035
